Sales_ID,Product_ID,Store_ID,Sale_Date,Qty_Sold,Unit_Price,Total_Revenue,Colour,Season
S001,474410,ST045,04/14/2024,2,14.9,29.8,11 PINK,Spring/Summer
S002,481673,ST045,05/12/2024,2,49.9,99.8,54 GREEN,Spring/Summer
S003,478730,ST010,06/14/2024,4,49.9,199.6,58 DARK GREEN,Spring/Summer
S004,478568,ST037,06/09/2024,1,69.9,69.9,56 OLIVE,Spring/Summer
S005,474410,ST018,03/11/2024,2,14.9,29.8,56 OLIVE,Fall/Winter
S006,474410,ST029,07/06/2024,4,14.9,59.6,31 BEIGE,Spring/Summer
S007,479608,ST018,10/16/2024,3,29.9,89.7,07 GRAY,Fall/Winter
S008,479004,ST037,01/29/2024,5,39.9,199.5,65 BLUE,Fall/Winter
S009,479608,ST038,11/21/2024,5,29.9,149.5,60 LIGHT BLUE,Fall/Winter
S010,479000,ST045,11/08/2024,5,49.9,249.5,62 BLUE,Fall/Winter
S011,479157,ST045,01/20/2024,5,49.9,249.5,57 OLIVE,Fall/Winter
S012,479608,ST038,10/28/2024,1,29.9,29.9,07 GRAY,Fall/Winter
S013,479608,ST025,12/17/2024,5,29.9,149.5,07 GRAY,Fall/Winter
S014,474410,ST020,11/12/2024,2,14.9,29.8,11 PINK,Fall/Winter
S015,481673,ST025,11/19/2024,5,49.9,249.5,15 RED,Fall/Winter
S016,478568,ST029,03/24/2024,1,69.9,69.9,19 WINE,Fall/Winter
S017,479157,ST010,12/09/2024,4,49.9,199.6,08 DARK GRAY,Fall/Winter
S018,479000,ST025,09/07/2024,2,49.9,99.8,62 BLUE,Spring/Summer
S019,479608,ST016,07/23/2024,4,29.9,119.6,76 PURPLE,Spring/Summer
S020,474410,ST001,08/29/2024,3,14.9,44.7,11 PINK,Spring/Summer
S021,479157,ST025,01/12/2024,4,49.9,199.6,02 LIGHT GRAY,Fall/Winter
S022,479608,ST016,03/19/2024,3,29.9,89.7,32 BEIGE,Fall/Winter
S023,479004,ST010,09/08/2024,5,39.9,199.5,69 NAVY,Spring/Summer
S024,481673,ST037,12/15/2024,1,49.9,49.9,54 GREEN,Fall/Winter
S025,478568,ST025,10/28/2024,1,69.9,69.9,70 LIGHT PURPLE,Fall/Winter
S026,479608,ST018,06/20/2024,5,29.9,149.5,60 LIGHT BLUE,Spring/Summer
S027,478568,ST037,02/18/2024,3,69.9,209.7,56 OLIVE,Fall/Winter
S028,479004,ST037,10/13/2024,3,39.9,119.7,69 NAVY,Fall/Winter
S029,479157,ST001,06/24/2024,5,49.9,249.5,68 BLUE,Spring/Summer
S030,474062,ST038,05/29/2024,1,29.9,29.9,56 OLIVE,Spring/Summer
S031,479157,ST038,02/20/2024,4,49.9,199.6,68 BLUE,Fall/Winter
S032,479157,ST037,12/31/2024,1,49.9,49.9,72 PURPLE,Fall/Winter
S033,481673,ST001,04/05/2024,2,49.9,99.8,69 NAVY,Spring/Summer
S034,481673,ST025,08/01/2024,2,49.9,99.8,54 GREEN,Spring/Summer
S035,479000,ST029,05/04/2024,1,49.9,49.9,08 DARK GRAY,Spring/Summer
S036,481673,ST020,03/05/2024,3,49.9,149.7,15 RED,Fall/Winter
S037,479608,ST025,03/19/2024,4,29.9,119.6,76 PURPLE,Fall/Winter
S038,479157,ST037,01/30/2024,1,49.9,49.9,02 LIGHT GRAY,Fall/Winter
S039,479000,ST018,06/17/2024,2,49.9,99.8,62 BLUE,Spring/Summer
S040,481673,ST038,07/28/2024,1,49.9,49.9,61 BLUE,Spring/Summer
S041,479608,ST020,02/03/2024,4,29.9,119.6,60 LIGHT BLUE,Fall/Winter
S042,476113,ST010,08/13/2024,1,39.9,39.9,00 WHITE,Spring/Summer
S043,474410,ST020,08/13/2024,4,14.9,59.6,00 WHITE,Spring/Summer
S044,479608,ST029,10/02/2024,2,29.9,59.8,69 NAVY,Fall/Winter
S045,476113,ST045,09/30/2024,5,39.9,199.5,10 PINK,Spring/Summer
S046,474410,ST045,05/22/2024,3,14.9,44.7,00 WHITE,Spring/Summer
S047,479000,ST010,02/05/2024,3,49.9,149.7,67 BLUE,Fall/Winter
S048,479608,ST018,10/26/2024,5,29.9,149.5,01 OFF WHITE,Fall/Winter
S049,474062,ST038,11/27/2024,1,29.9,29.9,56 OLIVE,Fall/Winter
S050,479608,ST001,10/11/2024,3,29.9,89.7,07 GRAY,Fall/Winter
S051,481673,ST010,11/30/2024,2,49.9,99.8,69 NAVY,Fall/Winter
S052,478568,ST029,12/27/2024,2,69.9,139.8,09 BLACK,Fall/Winter
S053,481673,ST045,04/26/2024,4,49.9,199.6,69 NAVY,Spring/Summer
S054,478730,ST016,01/28/2024,5,49.9,249.5,58 DARK GREEN,Fall/Winter
S055,474410,ST020,12/16/2024,4,14.9,59.6,11 PINK,Fall/Winter
S056,481673,ST020,04/12/2024,4,49.9,199.6,38 DARK BROWN,Spring/Summer
S057,479157,ST010,04/05/2024,5,49.9,249.5,19 WINE,Spring/Summer
S058,474062,ST045,05/21/2024,3,29.9,89.7,09 BLACK,Spring/Summer
S059,479004,ST037,07/19/2024,3,39.9,119.7,63 BLUE,Spring/Summer
S060,474410,ST001,08/03/2024,4,14.9,59.6,31 BEIGE,Spring/Summer
S061,479157,ST037,02/18/2024,4,49.9,199.6,72 PURPLE,Fall/Winter
S062,478730,ST001,09/25/2024,5,49.9,249.5,08 DARK GRAY,Spring/Summer
S063,481673,ST016,10/15/2024,3,49.9,149.7,38 DARK BROWN,Fall/Winter
S064,474062,ST038,04/12/2024,5,29.9,149.5,12 PINK,Spring/Summer
S065,481673,ST038,11/16/2024,5,49.9,249.5,15 RED,Fall/Winter
S066,474062,ST016,04/04/2024,4,29.9,119.6,56 OLIVE,Spring/Summer
S067,481673,ST010,12/31/2024,1,49.9,49.9,01 OFF WHITE,Fall/Winter
S068,478568,ST018,06/04/2024,3,69.9,209.7,09 BLACK,Spring/Summer
S069,479608,ST001,08/12/2024,2,29.9,59.8,32 BEIGE,Spring/Summer
S070,474410,ST037,11/25/2024,1,14.9,14.9,09 BLACK,Fall/Winter
S071,476113,ST010,04/24/2024,4,39.9,159.6,00 WHITE,Spring/Summer
S072,479004,ST001,08/09/2024,1,39.9,39.9,63 BLUE,Spring/Summer
S073,479608,ST016,10/05/2024,2,29.9,59.8,09 BLACK,Fall/Winter
S074,479157,ST038,11/20/2024,3,49.9,149.7,68 BLUE,Fall/Winter
S075,479608,ST020,06/03/2024,2,29.9,59.8,60 LIGHT BLUE,Spring/Summer
S076,479608,ST010,02/13/2024,5,29.9,149.5,07 GRAY,Fall/Winter
S077,479608,ST010,07/02/2024,2,29.9,59.8,01 OFF WHITE,Spring/Summer
S078,479608,ST038,04/11/2024,5,29.9,149.5,76 PURPLE,Spring/Summer
S079,474410,ST038,05/20/2024,5,14.9,74.5,31 BEIGE,Spring/Summer
S080,476113,ST037,09/17/2024,3,39.9,119.7,61 BLUE,Spring/Summer
S081,474410,ST020,09/29/2024,5,14.9,74.5,11 PINK,Spring/Summer
S082,479608,ST020,11/24/2024,2,29.9,59.8,32 BEIGE,Fall/Winter
S083,474062,ST010,04/12/2024,4,29.9,119.6,21 LIGHT ORANGE,Spring/Summer
S084,479608,ST025,10/16/2024,5,29.9,149.5,09 BLACK,Fall/Winter
S085,481673,ST038,08/27/2024,3,49.9,149.7,61 BLUE,Spring/Summer
S086,481673,ST029,05/05/2024,1,49.9,49.9,15 RED,Spring/Summer
S087,479000,ST018,05/19/2024,4,49.9,199.6,69 NAVY,Spring/Summer
S088,474410,ST045,06/05/2024,3,14.9,44.7,56 OLIVE,Spring/Summer
S089,476113,ST018,04/06/2024,2,39.9,79.8,10 PINK,Spring/Summer
S090,479004,ST018,09/15/2024,3,39.9,119.7,69 NAVY,Spring/Summer
S091,474410,ST045,06/17/2024,5,14.9,74.5,11 PINK,Spring/Summer
S092,474062,ST029,08/03/2024,2,29.9,59.8,69 NAVY,Spring/Summer
S093,474410,ST001,09/15/2024,2,14.9,29.8,31 BEIGE,Spring/Summer
S094,478730,ST016,05/29/2024,2,49.9,99.8,68 BLUE,Spring/Summer
S095,479157,ST025,11/23/2024,5,49.9,249.5,57 OLIVE,Fall/Winter
